22.511,9.125,1
21.9392591686923,11.9993352604942,1
20.3110790334922,14.4360790334922,1
17.8743352604942,16.0642591686923,1
15,16.636,1
12.1256647395058,16.0642591686923,1
9.68892096650784,14.4360790334922,1
8.06074083130773,11.9993352604942,1
7.489,9.125,1
8.06074083130772,6.25066473950581,1
9.68892096650784,3.81392096650784,1
12.1256647395058,2.18574083130773,1
15,1.614,1
17.8743352604942,2.18574083130773,1
20.3110790334922,3.81392096650784,1
21.9392591686923,6.25066473950581,1
22.511,-9.125,2
21.9392591686923,-6.25066473950581,2
20.3110790334922,-3.81392096650784,2
17.8743352604942,-2.18574083130772,2
15,-1.614,2
12.1256647395058,-2.18574083130772,2
9.68892096650784,-3.81392096650784,2
8.06074083130773,-6.25066473950581,2
7.489,-9.125,2
8.06074083130772,-11.9993352604942,2
9.68892096650784,-14.4360790334922,2
12.1256647395058,-16.0642591686923,2
15,-16.636,2
17.8743352604942,-16.0642591686923,2
20.3110790334922,-14.4360790334922,2
21.9392591686923,-11.9993352604942,2
25.739,9.125,2
24.9215422996387,13.2346373801687,2
22.5936197231623,16.7186197231623,2
19.1096373801687,19.0465422996387,2
15,19.864,2
10.8903626198313,19.0465422996387,2
7.40638027683767,16.7186197231623,2
5.07845770036129,13.2346373801687,2
4.261,9.125,2
5.07845770036129,5.0153626198313,2
7.32464984512107,1.614,2
22.6753501548789,1.614,2
24.9215422996387,5.01536261983129,2
25.739,-9.125,1
24.9215422996387,-5.0153626198313,1
22.6753501548789,-1.614,1
7.32464984512107,-1.614,1
5.07845770036129,-5.0153626198313,1
4.261,-9.125,1
5.07845770036129,-13.2346373801687,1
7.40638027683766,-16.7186197231623,1
10.8903626198313,-19.0465422996387,1
15,-19.864,1
19.1096373801687,-19.0465422996387,1
22.5936197231623,-16.7186197231623,1
24.9215422996387,-13.2346373801687,1
0,1.614,4
5,1.614,4
25,1.614,4
30,1.614,4
35,1.614,4
40,1.614,4
0,-1.614,4
5,-1.614,4
25,-1.614,4
30,-1.614,4
35,-1.614,4
40,-1.614,4
40,0.5,4
40,-0.5,4
14.7,1.6425,3
15.3,1.6425,3
14.7,-1.6425,3
15.3,-1.6425,3